"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#Nursing #Job alert: Certified CVOR Surgical Technologist Travel Jo... | Soliant Health | #Dayton, OH http://t.co/ec9YEeULlN #RN",FALSE,0,NA,2014-12-12 22:26:15,FALSE,NA,"543532308213399552",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","Soliant_Nursing",0,FALSE,FALSE,"-84.1916069","39.7589478"
"#Education #Job alert: School Of Nursing Health Professions | Marian University | #Greendale, WI http://t.co/Hpzhz6yW8a #Jobs",FALSE,0,NA,2014-12-12 22:26:15,FALSE,NA,"543532308104364032",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","JSJobsWI",0,FALSE,FALSE,"-87.9959191","42.9405711"
"#Nursing #Job in #Albany, NY: Outpatient Family NP Job in Albany, NY at Soliant Health http://t.co/uz2XzyXavt #Jobs #TweetMyJobs",FALSE,0,NA,2014-12-12 22:26:14,FALSE,NA,"543532304111390720",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","Soliant_AdvPrac",0,FALSE,FALSE,"-73.9712488","42.6284995"
"Cover Jacksonville to hold health insurance enrollment event: Cover Jacksonville is holding an event to help… http://t.co/1DYr7JITcJ",FALSE,0,NA,2014-12-12 22:26:11,FALSE,NA,"543532290828034048",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","JacksonvilleCP",0,FALSE,FALSE,"-81.65339546","30.32633066"
"#Nursing #Job alert: RN Assistant Nurse Manager (3:30 p... | Saint Luke's Health System | #KansasCity, MO http://t.co/3fzeOKkCk3",FALSE,0,NA,2014-12-12 22:25:41,FALSE,NA,"543532168442413056",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","SaintLukesJobs",0,FALSE,FALSE,"-94.5998517","39.1041725"
"#Nursing #Job in #Milwaukee, WI: STAFF RN, FH - 5SE SCIC ACUTE Job at Froedtert Health http://t.co/8x8eLPtWgf #Jobs #TweetMyJobs",FALSE,0,NA,2014-12-12 22:24:36,FALSE,NA,"543531893665181696",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","FroedtertJobs",0,FALSE,FALSE,"-87.9064736","43.0389025"
"#NewHaven, CT #Healthcare #Job: Help Desk Analyst at Yale New Haven Health Services http://t.co/e1kE9t1PDh #Jobs #TweetMyJobs",FALSE,0,NA,2014-12-12 22:24:07,FALSE,NA,"543531772206526464",NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>","YNHHJobs",0,FALSE,FALSE,"-72.935109","41.302774"
"#Nursing #Job in #Springfield, MO: Registered Nurse at Mercy Health http://t.co/Qv1bs0Zsiy #VeteranJob #Jobs #TweetMyJobs",FALSE,0,NA,2014-12-12 22:24:01,FALSE,NA,"543531745736278017",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","MercyJobs",0,FALSE,FALSE,"-93.274092","37.1799869"
"#Macon, GA #Healthcare #Job: Macon, GA school assignments for Speech Language Patholo... at Soliant Health http://t.co/4rmKUP5tyM",FALSE,0,NA,2014-12-12 22:23:56,FALSE,NA,"543531725813325824",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","Soliant_Schools",0,FALSE,FALSE,"-83.6324022","32.8406946"
"#FamilyPractice #Job in #Walterboro, SC: Walterboro South Carolina Family Practice ph... at Soliant Health http://t.co/xNvmkA7Bls",FALSE,0,NA,2014-12-12 22:23:55,FALSE,NA,"543531723070271489",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","Soliant_MDs",0,FALSE,FALSE,"-80.6667688","32.9051704"
"Band merch inside a mental health centre? Good marketing @dannyworsnop @benjaminbruce http://t.co/8m7yh8PExK",FALSE,0,NA,2014-12-12 22:23:38,FALSE,NA,"543531649489969152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OllDarryl",0,FALSE,FALSE,"-79.37394569","43.66478303"
"Supplemental Health Care #Nursing #Job: Travel RN / Registered Nurse / ER / NICU... (#Charlottesville, VA) http://t.co/oNYXrugBgi",FALSE,0,NA,2014-12-12 22:23:15,FALSE,NA,"543531552399835136",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","WorkWithSHC",0,FALSE,FALSE,"-78.5102996","38.0340003"
"VCU Health System #Nursing #Job: * Experienced RN Recruitmen... (#Richmond, VA) http://t.co/KSQtcoyOB2 http://t.co/9gyZCVEUzY",FALSE,0,NA,2014-12-12 22:23:13,FALSE,NA,"543531545617649665",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","VCUHealthJobs",0,FALSE,FALSE,"-77.469092","37.542979"
"Well I was going to try and eat healthy... Then I saw chips. Well on the plus side I haven't drank soda yet",FALSE,0,NA,2014-12-12 22:23:01,FALSE,NA,"543531496573636609",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","meghan_osman",0,FALSE,FALSE,"-108.55178344","39.08352874"
