"text","place_lat","place_lon"
"@TheTalk_CBS Health rules apply to all including even Dr. Snyderman.",40.4313888,-79.98068965
"#Healthcare #Job in #Aurora, CO: Mental Hlth Counsellor-Flex B at Children's Hospital Colorado http://t.co/2bqRE4E61x #Jobs",38.997936,-105.5508905
"Houston Methodist Hospital: ADMIN SPCLST I (PHARMACY EDUCATION AND TRANI... (#Houston, TX) http://t.co/CYkEjaEObs #Healthcare #Job",29.8384948,-95.4464865
"#Nursing #Job in #EastHanover, NJ: Nurse Practitioner East Hanover at CVS Health http://t.co/QVQIpI5ywb #Jobs #TweetMyJobs",40.8186315,-74.3702987
"What Men Really Want in a Woman They Are Dating http://t.co/kNMGPec6gq via @HealthyLiving",34.1081607,-117.4626981
"Certified Nur... - Accountable Healthcare Staffing: (#Phoenix, AZ) http://t.co/o3ZRZsnVuC #Nursing #Job http://t.co/Z39VBPZuSf",33.5528626,-112.1246767
"#TweetMyJobs #Retail #Job alert: Pharmacist Full Time | CVS Health | #LITCHFIELD, CT http://t.co/ByyWYJRt2f #Jobs",41.743244,-73.1922865
"Saint Luke's Health System: SLCC - Advanced Practice Registered Nurse - ... (#LeesSummit, MO) http://t.co/PkHYNgMY8i #Nursing #Job",38.916093,-94.3782315
"The Vitamin Shoppe: Health Enthusiast Part-Time (#Ramsey, NJ) http://t.co/G0tHkEi7VH #Retail #Job #Jobs #TweetMyJobs",41.059269,-74.1454065
"#Job in #Phoenix, AZ: Environmental Tech- FT Days- AZ Heart at Abrazo Health Care http://t.co/YqkrbtcJ0z #Jobs #TweetMyJobs",33.5528626,-112.1246767
"#Jonesboro, GA #Healthcare #Job: Speech-Language Pathologist School Jobs Jonesboro, GA at Soliant Health http://t.co/mEtTiizaF1",33.52311195,-84.355429
"@ss_x_hh so I'm semi doing this in an unhealthy way lmao",43.2514515,-77.6885355
"@healthcentral ME TOO  #HealthTipsChat",38.9201425,-80.181837
"St. Joseph's Health #Nursing #Job: Clinic LVN-Urgent Care/19th &amp; Quaker (#LUBBOCK, TX) http://t.co/WNqK2SG4bu #Jobs #TweetMyJobs",33.5705263,-101.897173
"@Withings I see @HealthVault listed as a partner on your site, but when I click on HealthVault it gives me a 404 https://t.co/1N4ymQ9evW",47.6788125,-122.061771
"#Nursing #Job in #FortSmith, AR: RN Cardiac Stepdown PT Days at Mercy Health http://t.co/Hanu8e9277 #VeteranJob #Jobs #TweetMyJobs",35.34726,-94.3703081
"Registered Nurse (RN) Post Partum/Mothe... - Accountable Healthcare Staffing: (#Stafford, VA) http://t.co/xJbDrhPezz #Nursing #Job",38.0033755,-79.420865
"Supplemental Health Care #Healthcare #Job: Physical Therapist - PT - HH (#Charleston, WV) http://t.co/UkJedT6UH0 #Jobs",38.3399245,-81.71103345
"#Healthcare #Job in #Richmond, VA: Recreation Technician at VCU Health System http://t.co/bI2tly47sy #Jobs #TweetMyJobs",37.529883,-77.4931705
"#Nursing #Job alert: OR RN Travel Job in Providence, RI | Soliant Health | #Providence, RI http://t.co/X89y2nlvJS #Jobs",41.817084,-71.42183225
"I'm reading @HealthyLiving and it's all, ""Health, exercise, health, chocolate syrup — WHAT?"" Guess which one I read? http://t.co/ghemgx8Fqm",38.8132555,-77.2977265
"If you value your health, what are you doing to maintain it? #1life1body (@ Dynamic Touch Massage) https://t.co/NPg3VUbckP",40.5641905,-105.0639425
"Accountable Healthcare Staffing: Certified Occup... (#Peru, IL) http://t.co/xUjvzZMdao #Healthcare #Job http://t.co/cJxGNaidjK",41.3466705,-89.13517
"@BabyBrightt naw ain't worth the $$$ but for quick decent somewhat healthy vegan Mexican, it's good.",30.1967957,-81.741792
